Solution Path:
State: [[1, 6, 7], [9, 5, 8], [3, 4, 2]] Level: 0 F-value:(21, 21)
State: [[1, 6, 7], [9, 5, 2], [3, 4, 8]] Level: 1 F-value:(17, 16)
State: [[1, 6, 2], [9, 5, 7], [3, 4, 8]] Level: 2 F-value:(15, 13)
State: [[1, 6, 2], [3, 5, 7], [9, 4, 8]] Level: 3 F-value:(11, 8)
State: [[1, 5, 2], [3, 6, 7], [9, 4, 8]] Level: 4 F-value:(11, 7)
State: [[1, 5, 2], [3, 4, 7], [9, 6, 8]] Level: 5 F-value:(11, 6)
State: [[1, 5, 2], [4, 3, 7], [9, 6, 8]] Level: 6 F-value:(13, 7)
State: [[1, 3, 2], [4, 5, 7], [9, 6, 8]] Level: 7 F-value:(11, 4)
State: [[1, 2, 3], [4, 5, 7], [9, 6, 8]] Level: 8 F-value:(11, 3)
State: [[1, 2, 3], [4, 7, 5], [9, 6, 8]] Level: 9 F-value:(13, 4)
State: [[1, 2, 3], [4, 6, 5], [9, 7, 8]] Level: 10 F-value:(13, 3)
State: [[1, 2, 3], [4, 5, 6], [9, 7, 8]] Level: 11 F-value:(13, 2)
State: [[1, 2, 3], [4, 5, 6], [7, 9, 8]] Level: 12 F-value:(13, 1)
State: [[1, 2, 3], [4, 5, 6], [7, 8, 9]] Level: 13 F-value:(13, 0)
Time taken: 7.4909985065460205
